nm0000005	Ingmar Bergman	1918	2007	writer,director,actor	tt0050986,tt0060827,tt0083922,tt0050976
nm0000085	Henner Hofmann	\N	\N	cinematographer,producer,camera_department	tt0829176,tt0272147,tt0249313,tt0208675
nm0000113	Sandra Bullock	1964	\N	producer,actress,soundtrack	tt0878804,tt0212346,tt1041829,tt1454468
nm0000188	Steve Martin	1945	\N	writer,actor,soundtrack	tt0338427,tt0120910,tt0131325,tt0079367
nm0000256	Jenny Agutter	1952	\N	actress,soundtrack	tt0067959,tt1843866,tt0848228,tt0074812
nm0000276	Sean Astin	1971	\N	actor,producer,director	tt0089218,tt0167260,tt0120737,tt0167261
nm0000305	Mel Blanc	1908	1989	actor,soundtrack,music_department	tt0096438,tt0088491,tt0051189,tt0053502
nm0000353	Willem Dafoe	1955	\N	actor,soundtrack,producer	tt0266543,tt0091763,tt0145487,tt2278388
nm0000420	Valeria Golino	1965	\N	actress,producer,soundtrack	tt0102059,tt0095953,tt0120679,tt0113101
nm0000491	John Leguizamo	1964	\N	actor,writer,producer	tt0268380,tt0203009,tt0438097,tt0117509
nm0000519	David Mamet	1947	\N	writer,producer,director	tt0104348,tt0122690,tt0094226,tt0212985
nm0000574	Jason Patric	1966	\N	actor,producer	tt0120179,tt0478134,tt0272207,tt0093437
nm0000608	Burt Reynolds	1936	\N	actor,director,producer	tt0098790,tt0398165,tt0068473,tt0118749
nm0000615	John Ritter	1948	2003	actor,producer,soundtrack	tt0103437,tt0075596,tt0117666,tt0307987
nm0000640	Martin Sheen	1940	\N	actor,producer,soundtrack	tt0264464,tt0078788,tt0407887,tt0200276
nm0000761	Bibi Andersson	1935	\N	actress,soundtrack	tt0092603,tt0050986,tt0050976,tt0060827
nm0000910	Joan Bennett	1910	1990	actress,soundtrack	tt0038057,tt0043526,tt0059978,tt0042451
nm0000929	Corbin Bernsen	1954	\N	actor,producer,writer	tt0090466,tt0373469,tt0491738,tt0056758
nm0000957	Jan de Bont	1943	\N	cinematographer,producer,camera_department	tt0099810,tt0104714,tt0103772,tt0095016
nm0000973	Benjamin Bratt	1963	\N	actor,producer	tt1690953,tt1211837,tt0098844,tt0212346
nm0001065	Harry Connick Jr.	1967	\N	actor,soundtrack,music_department	tt0310007,tt0229250,tt0129167,tt0319931
nm0001262	Ben Gazzara	1930	2012	actor,director,soundtrack	tt0058844,tt0052561,tt0155267,tt0118715
nm0001348	Werner Herzog	1942	\N	director,writer,actor	\N
nm0001714	Campbell Scott	1961	\N	actor,producer,director	tt0948470,tt1872181,tt0105415,tt0404032
nm0001980	Carter Burwell	1955	\N	music_department,composer,soundtrack	tt1403865,tt0780536,tt0120601,tt0116282
